Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
"VERASEAL SOLUTION FOR SEALANT 80 MG/ML, 500 IU/ML",Human Fibrinogen and Human Thrombin,NDA-2: New dosage form,GRIFOLS ASIA PACIFIC PTE LTD,01/04/2021,SIN16143P
EYBELIS OPHTHALMIC SOLUTION 0.002%,Omidenepag Isopropyl,NDA-1: New chemical entity,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,07/04/2021,SIN16150P
"ATECTURA BREEZHALER INHALATION POWDER, HARD CAPSULE 150 MCG /320 MCGATECTURA BREEZHALER INHALATION POWDER, HARD CAPSULE 150 MCG /160 MCGATECTURA BREEZHALER INHALATION POWDER, HARD CAPSULE 150 MCG /80 MCG",Indacaterol/Mometasone furoate,NDA-2/3: New combination/New strength,NOVARTIS (SINGAPORE) PTE LTD,07/04/2021,SIN16147PSIN16148PSIN16149P
"ENERZAIR BREEZHALER INHALATION POWDER, HARD CAPSULE 150 MCG /50 MCG /160 MCG",Indacaterol/ Glycopyrronium/ Mometasone furoate,NDA-2: New combination,NOVARTIS (SINGAPORE) PTE LTD,14/04/2021,SIN16153P
"OZEMPIC SOLUTION FOR INJECTION IN PRE-FILLED PEN 1 MG/DOSE, 0.25 MG, 0.5 G/DOSE",Semaglutide,NDA-1: New Biological Entity,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,21/04/2021,"SIN16164P, SIN16165P"
"CRYSVITA® SOLUTION FOR INJECTION 10MG/ML, 20MG/ML, 30MG/ML",Burosumab,"NDA-1/3: New Biological Entity, New Strengths",KYOWA KIRIN ASIA PACIFIC PTE LTD,30/04/2021,"SIN16176P, SIN16177P, SIN16178P"
MVASI CONCENTRATE FOR SOLUTION FOR INFUSION 25MG/ML,Bevacizumab,NDA-2: Biosimilar,AMGEN BIOTECHNOLOGY SINGAPORE PTE LTD,10/04/2021,SIN16151P
Nucala Solution for Injection in Pre-filled Syringe 100mg/mLNucala Solution for Injection in Pre-filled Pen 100mg/mL,Mepolizumab,NDA-2: New presentation,GlaxoSmithKline Pte Ltd,27/04/2021,"SIN16171P, SIN16172P"
"NOVOEIGHT POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 250IU/VIAL, 500IU/VIAL AND 1000IU/VIAL",Turoctocog Alfa,NDA-1: New biological entityNDA-3: New strength,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,01/03/2021,"SIN16109P, SIN16110P, SIN16111P"
XOLAIR SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 75MG/0.5ML AND 150MG/1.0ML,Omalizumab,NDA-2: New dosage formNDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,04/03/2021,SIN16115P and SIN16116P
ANSTO-SODIUM IODIDE [131I] THERAPY CAPSULE VIAL (50 MBQ TO 6000 MBQ),Sodium Iodide [I-131] 50 to 6000 MBq,NDA-2: New strength,Transmedic Pte Ltd,08/03/2021,SIN16117P
SIMPONI SOLUTION FOR INJECTION IN PRE-FILLED PEN 45MG/0.45ML,Golimumab,NDA-2: New strength,Johnson & Johnson Pte. Ltd.,09/03/2021,SIN16118P
ABILIFY TABLET 2MGABILIFY ORAL SOLUTION 1MG/ML,Aripiprazole,NDA-2: New strengthNDA-2: New dosage form,OTSUKA PHARMACEUTICALS (SINGAPORE) PTE. LTD.,10/03/2021,SIN16119PSIN16120P
DUPIXENT SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE 200 mg/1.14ml,Dupilumab,"NDA-2: New strength, new indication and dosing regimen",SANOFI-AVENTIS SINGAPORE PTE. LTD.,15 Mar 2021,SIN16121P
PANADOL CHILDREN SUSPENSION 250MG/5ML,Paracetamol,NDA-2: New dosage form,GSK CONSUMER HEALTHCARE SINGAPORE PTE. LTD.,30/03/2021,SIN16142P
SMOFKABIVEN EXTRA NITROGEN EMULSION FOR INFUSIONSMOFKABIVEN EXTRA NITROGEN ELECTROLYTE-FREE EMULSION FOR INFUSION,SMOFLipid 20% (SIN13246P)Amino acids ± electrolytesGlucose,NDA-2: New strength,Fresenius Kabi (Singapore) Pte Ltd,24 Mar 2021,SIN16135PSIN16136P
KESIMPTA SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 20MG/0.4MLKESIMPTA SOLUTION FOR INJECTION IN PRE-FILLED PEN 20MG/0.4ML,Ofatumumab,NDA-1: New biological entityNDA-2: New strength,NOVARTIS (SINGAPORE) PTE LTD,05/02/2021,"SIN16100P, SIN16101P"
NUBEQA FILM-COATED TABLET 300MG,Darolutamide milled,NDA-1: New chemical entity,BAYER (SOUTH EAST ASIA) PTE LTD,11/02/2021,SIN16103P
GENTECH MOLYBDENUM (99Mo) / TECHNETIUM (99mTc) STERILE GENERATOR,Sodium pertechnetate (99mTc),NDA-2: New dosage form/indication,TRANSMEDIC PTE LTD,24/02/2021,SIN16108P
VPRIV POWDER FOR SOLUTION FOR INFUSION 400UNITS/VIAL,Velaglucerase alfa,NDA-1: New Chemical Entity,Takeda Pharmaceuticals (Asia Pacific) Pte Ltd,24/02/2021,SIN16107P
SONAZOID POWDER AND SOLVENT FOR DISPERSION FOR INJECTION 16 MICROLITRE PER VIAL,Perfluorobutane (microbubbles),NDA-1,GE HEALTHCARE PTE. LTD.,06/01/2021,SIN16077P
SHINGRIX POWDER AND SUSPENSION FOR SUSPENSION FOR INJECTION 50MCG/0.5ML,[Antigen] Recombinant Varicella Zoster Virus glycoprotein E (gE),NDA-1,GLAXOSMITHKLINE PTE LTD,12/01/2021,SIN16079P
IDACIO SOLUTION FOR INJECTION IN PRE-FILLED PEN 40MG/0.8MLIDACIO SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 40MG/0.8MLIDACIO SOLUTION FOR INJECTION FOR PAEDIATRIC USE 40MG/0.8ML VIAL,Adalimumab,NDA-2,FRESENIUS KABI (SINGAPORE) PTE LTD,25/01/2021,SIN16083PSIN16084PSIN16085P
ROZLYTREK HARD CAPSULES 100MG AND 200MG,Entrectinib,"NDA-1,3",ROCHE SINGAPORE PTE LTD,27/01/2021,"SIN16086P, SIN16087P"
XOSPATA® FILM-COATED TABLETS 40 MG,Gilteritinib,NDA-1,ASTELLAS PHARMA SINGAPORE PTE. LTD.,28/01/2021,SIN16088P
CLARITYN SYRUP 5 MG/5 ML (GRAPE FLAVOR),Loratadine,NDA-2,BAYER (SOUTH EAST ASIA) PTE LTD,29/1/2021,SIN16091P
"LIXIANA FILM-COATED TABLET 15MG, 30MG AND 60MG",Edoxaban Tosilate,NDA-1: New chemical/biological entityNDA-3: New strength,A.MENARINI SINGAPORE PTE LTD,18/12/2020,"SIN16059P, SIN16060P, SIN16061P"
NALDEBAIN EXTENDED RELEASE INJECTION 75 MG/ML,Dinalbuphine sebacate,NDA-1: New chemical entity,INTEGA PTE LTD,15/12/2020,SIN16058P
EMGALITY SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 100MG/ML,Galcanezumab,NDA-2: New presentation/indication/strength,Eli Lilly (Singapore) Pte Ltd,18 Dec 20,SIN16063P
REMSIMA SOLUTION FOR SUBCUTANEOUS INJECTION 120MG/ML IN PRE-FILLED SYRINGEREMSIMA SOLUTION FOR SUBCUTANEOUS INJECTION 120MG/ML IN PRE=FILLED PEN,Infliximab,NDA-2: New presentation and new route of administration,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,29/12/2020,"SIN16069P, SIN16070P"
MAYZENT FILM-COATED TABLETS 0.25MG AND 2MG,Siponimod,NDA-1: New chemical entity,Novartis (Singapore) Pte Ltd,16 Nov 2020,"SIN16039P, SIN16040P"
FASENRA SOLUTION FOR INJECTION 30MG/ML (AUTOINJECTOR PEN),Benralizumab,NDA-2: New dosage form,ASTRAZENECA SINGAPORE PTE LTD,18/11/2020,SIN16043P
ADYNOVATE POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 250IU/ 500IU/ 1000IU/ 1500IU/ 2000IU/ 3000IU,"Rurioctocog alfa pegol [Antihemophilic Factor (Recombinant), PEGylated]",NDA-1 and NDA-3: New biological entity and new strength,Takeda Pharmaceuticals (Asia Pacific) Pte. Ltd.,24 Nov 2020,"SIN16048P, SIN16049P, SIN16050P, SIN16051P, SIN16052P, SIN16053P"
TRAZIMERA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 440MG,Trastuzumab,NDA-2,Pfizer Private Limited,11 Nov 2020,SIN16038P
PECFENT NASAL SPRAY SOLUTION 100MCG/SPRAYPECFENT NASAL SPRAY SOLUTION 400MCG/SPRAY,Fentanyl,NDA-2: New dosage form,A.MENARINI SINGAPORE PTE. LTD.,12/10/2020,"SIN16026P, SIN16027P"
XYZAL FILM-COATED TABLET 5 MG,Levocetirizine dihydrochloride (5 mg),NDA-2*: New forensic classification of the 50's pack size (Split license from SIN12084P),GlaxoSmithKline Pte. Ltd.,14/10/2020,SIN16028P
DARZALEX SC SOLUTION FOR INJECTION 1800MG/15ML,Daratumumab,NDA-2: New dosage form,JOHNSON & JOHNSON PTE LTD,27/10/2020,SIN16032P
SPRAVATO NASAL SPRAY 28 MG/VIAL,Esketamine,NDA-1,Johnson & Johnson Pte Ltd,27 Oct 2020,SIN16033P
POLIVY POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 140MG,Polatuzumab vedotin,NDA-1: New biological entity,ROCHE SINGAPORE PTE LTD,08/09/2020,SIN16007P
SEMGLEE SOLUTION FOR INJECTION IN A PREFILLED PEN 100U/ML,Insulin glargine,NDA-2: Biosimilar,MYLAN PHARMACEUTICALS PTE. LTD.,14/09/2020,SIN16009P
FULPHILA SOLUTION FOR INJECTION 6MG/0.6ML,Pegfilgrastim,NDA-2: Biosimilar,MYLAN PHARMACEUTICALS PTE. LTD.,21/09/2020,SIN16012P
ODEFSEY FILM COATED TABLET 200MG/25MG/25MG,Emtricitabine / Rilpivirine hydrochloride / Tenofovir alafenamide fumarate,NDA-2: New combination,JOHNSON & JOHNSON PTE LTD,24/09/2020,SIN16015P
LONQUEX PRE-FILLED SYRINGE 6MG/0.6ML,Lipegfilgrastim,NDA-1,Drug Houses of Australia Pte Ltd,25/09/2020,SIN16019P
"BALVERSA FILM-COATED TABLETS 3MG, 4MG, 5MG",Erdafitinib,NDA-1/3,JOHNSON & JOHNSON PTE. LTD.,07/08/2020,"SIN15986P, SIN15987P, SIN15988P"
DOVATO FILM-COATED TABLET 50MG/ 300MG,"Dolutegravir, Lamivudine",NDA-2,GLAXOSMITHKLINE PTE LTD,13/08/2020,SIN15989P
VITRAKVI HARD CAPSULE 100MG AND 25MGVITRAKVI ORAL SOLUTION 20MG/ML,Larotrectinib,NDA-1/2/3,BAYER (SOUTH EAST ASIA) PTE LTD,17/08/2020,"SIN15991P, SIN15992P, SIN15993P"
FIASP FLEXTOUCH 100U/MLFIASP SOLUTION FOR INJECTION IN VIAL 100U/ML,Insulin Aspart,NDA-2,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,17/08/2020,"SIN15994P, SIN15995P"
LYSAKARE SOLUTION FOR INFUSION 25G / 25G,"L-Arginine Hydrochloride, L-Lysine Hydrochloride",NDA-2: New combination,NOVARTIS (SINGAPORE) PTE LTD,31/08/2020,SIN16003P
ENDOLUCINBETA RADIOPHARMACEUTICAL PRECURSOR SOLUTION 40 GBQ/ML,Lutetium (177Lu) chloride,NDA-1: New chemical entity,QT INSTRUMENTS (S) PTE LTD,03/07/2020,SIN15971P
SKYRIZI SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 75MG,Risankizumab,NDA-1: New chemical entity,ABBVIE PTE LTD,06/07/2020,SIN15972P
"FENTORA® BUCCAL TABLETS 100MCG, 200MCG, 400MCG, 600MCG AND 800MCG",Fentanyl Citrate,NDA-2: New dosage formNDA-3: Subsequent new strengths,DRUG HOUSES OF AUSTRALIA PTE LTD,28 July 2020,"SIN15977P, SIN15978P, SIN15979P, SIN15980P, SIN15981P"
LUTATHERA SOLUTION FOR INFUSION 370 MBQ/ML,Lutetium (177Lu) oxodotreotide,NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE LTD,01/06/2020,SIN15947P
IXIFI POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,Infliximab,NDA-2,PFIZER PRIVATE LIMITED,03/06/2020,SIN15948P
VEKLURY LYOPHILIZED POWDER FOR IV INFUSION 100MG/VIALVEKLURY SOLUTION FOR IV INFUSION 5MG/ML,Remdesivir,NDA-1/2,GILEAD SCIENCES SINGAPORE PTE LTD,10/06/2020 (Conditional approval),"SIN15950P, SIN15951P"
BASALOG ONE SOLUTION FOR INJECTION IN A PRE-FILLED PEN 100 IU/ML,Insulin glargine,NDA-2,DUOPHARMA (SINGAPORE) PTE LTD,12/06/2020,SIN15954P
RINVOQ EXTENDED RELEASE TABLETS 15MG,Upadacitinib,NDA-1,Abbvie Pte. Ltd.,16/06/2020,SIN15959P
"LOKELMA POWDER FOR ORAL SUSPENSION 5G, 10G",Sodium zirconium cyclosilicate,NDA-1/3,ASTRAZENECA SINGAPORE PTE LTD,22/06/2020,"SIN15961P, SIN15962P"
BILAXTEN ORAL SOLUTION 2.5MG/ML,Bilastine,NDA-2,A Menarini Singapore Pte Ltd,24/06/2020,SIN15963P
TECENTRIQ CONCENTRATE FOR SOLUTION FORINFUSION 840MG/14ML,Atezolizumab,NDA-2,ROCHE SINGAPORE PTE. LTD.,25 June 2020,SIN15964P
VIZIMPRO FILM-COATED TABLET 15MGVIZIMPRO FILM-COATED TABLET 30MGVIZIMPRO FILM-COATED TABLET 45MG,Dacomitinib monohydrate,NDA-1/3: New chemical entity,Pfizer Private Limited,25/06/2020,"SIN15965P, SIN15966P, SIN15967P"
RIXATHON CONCENTRATE FOR SOLUTION FOR INFUSION 500MG/50MLRIXATHONG CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/10ML,Rituxiamb,NDA-2/3: New biosimilar,Novartis (Singapore) Pte Ltd,30/06/2020,"SIN15969P, SIN15970P"
AJOVY SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 225MG/1.5ML,FREMANEZUMAB,NDA-1: New biological entity,DRUG HOUSES OF AUSTRALIA PTE LTD,08 MAY 2020,SIN15937P
TUKYSA FILM-COATED TABLETS 50 MG AND 150 MG,Tucatinib,NDA-1: New chemical entity,NYPRAX PHARMA PTE. LTD.,19/05/2020,"SIN15942P, SIN15943P"
TALZENNA CAPSULE 0.25MG AND 1MG,Talazoparib tosylate,NDA-1: New chemical entityNDA-3: New strength,PFIZER PRIVATE LIMITED,22/05/2020,"SIN15944P, SIN15945P"
"NUWIQ POWDER AND SOLVENT FOR INJECTION 250IU, 500IU, 1000IU, 2000IU",SIMOCTOCOG ALFA,NDA-2: New dosage formNDA-3: New strength,WELLCHEM PHARMACEUTICALS PTE LTD,01/04/2020,"SIN15920P, SIN15921P, SIN15922P, SIN15923P"
TRIMBOW PRESSURISED INHALATION SOLUTION 100/6/12.5 ?g PER ACTUATION,"Beclometasone dipropionate anhydrous 0.1mg/actuation, Formoterol fumarate dehydrate 0.006mg/actuation, Glycopyrronium bromide 0.0125mg/actuation",NDA-2: New combination,ORIENT EUROPHARMA PTE LTD,02/04/2020,SIN15924P
AIMOVIG SOLUTION FOR INJECTION FOR PRE-FILLED PEN 140MG/MLAIMOVIG SOLUTION FOR INJECTION FOR PRE-FILLED SYRINGE 140MG/ML,Erenumab,NDA-3: New strength,Novartis (Singapore) Pte Ltd,03/04/2020,"SIN15925P, SIN15926P"
XERAVA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 50MG PER VIAL,Eravacycline,NDA-1: New drug,Everest Medicines (Singapore) Pte Ltd,15/04/2020,SIN15930P
SAMSCA TABLET 15MG,Tolvaptan,NDA-1:New Drug,Otsuka Pharmaceuticals (Singapore) Pte Ltd,24/04/2020,SIN15934P
ISENTRESS HD FILM COATED TABLET 600MG,Raltegravir,NDA-2: New strength,MSD Pharma (Singapore) Pte. Ltd.,27/04/2020,SIN15935P
PHENYLALPHA SOLUTION FOR INJECTION 50MCG/ML,Phenylephrine hydrochloride,NDA-2: New dosage form,INTEGA PTE LTD,03/03/2020,SIN15896P
CALIBERI ORODISPERSIBLE FILM 20MGCALIBERI ORODISPERSIBLE FILM 5MG,Tadalafil,NDA-2: New dosage formNDA-3: New strength,ABBOTT LABORATORIES (SINGAPORE) PRIVATE LIMITED,09/03/2020,"SIN15898P,SIN15899P"
STEGLATRO FILM-COATED TABLETS 5MGSTEGLATRO FILM-COATED TABLETS 15MG,Ertugliflozin L-PGA,NDA-1: New chemical entityNDA-3: New strength,MSD PHARMA (SINGAPORE) PTE. LTD.,11/03/2020,"SIN15901P, SIN15902P"
STEGLUJAN FILM-COATED TABLETS 5MG/100MGSTEGLUJAN FILM-COATED TABLETS 15MG/100 MG,Sitagliptin phosphate monohydrate / ertugliflozin L-PGA,NDA-2: New combinationNDA-3: New strength,MSD PHARMA (SINGAPORE) PTE. LTD.,11/03/2020,"SIN15904P, SIN15905P"
DELSTRIGO FILM COATED TABLET,"Lamivudine 100mg, Tenofovir disoproxil fumarate 300mg, Doravirine 100mg",NDA-2: New combination,MSD PHARMA (SINGAPORE) PRIVATE LIMITED,13 Mar 2020,SIN15909P
HUMIRA SOLUTION FOR INJECTION 80 MG/0.8ML (PREFILLED PEN)HUMIRA SOLUTION FOR INJECTION 80 MG/0.8ML (PREFILLED SYRINGE),Adalimumab,NDA-2: New strength,ABBVIE PTE. LTD.,19/03/2020,"SIN15914P, SIN15915P"
"PIQRAY 250, 300 AND 200MG DAILY DOSE PACKS",Alpelisib,NDA-1 (250MG): New chemical entityNDA-3: Subsequent strengths,NOVARTIS (SINGAPORE) PTE LTD,25/03/2020,"SIN15916P, SIN15917P and SIN15918P"
EMGALITY SOLUTION FOR INJECTION IN PRE-FILLED PEN 120MG/ML,Galcanezumab,NDA-1: New chemical entity,Eli Lilly (Singapore) Pte Ltd,25/03/2020,SIN15919P
"ALBURX SOLUTION FOR INFUSION 5%, 20%, 25%",Human albumin,NDA-2: New dosage formNDA-3: Subsequent strengths,CSL Behring Pte Ltd,11/03/2020,"SIN15903P, SIN15906P and SIN15907P"
SPIRIVA RESPIMAT RE-USABLE SOLUTION FOR INHALATION 2.5 MICROGRAM,Tiotropium,NDA-2: New presentation,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,18/02/2020,SIN15885P
GLANATEC OPHTHALMIC SOLUTION 0.4% W/V,Ripasudil Hydrochloride Hydrate,NDA-1: New chemical entity,DKSH Singapore Ptd Ltd,18/02/2020,SIN15886P
BOOSTRIX POLIO SUSPENSION FOR INJECTION,"TETANUS TOXOID(20 iu/0.5 ml),DIPHTHERIA TOXOID(2 iu/0.5 ml),PERTACTIN(2.5 mcg/0.5 ml), FILAMENTOUS HAEMAGGLUTININ(8 mcg/0.5 ml),PERTUSSIS TOXOID(8mcg/0.5ml)",NDA-2,GLAXOSMITHKLINE PTE LTD,20/02/2020,SIN15888P
SPIOLTO RESPIMAT RE-USABLE SOLUTION FOR INHALATION 2.5 MICROGRAM / 2.5 MICROGRAM,Tiotropium / Olodaterol,NDA-2: New presentation,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,25/01/2020,SIN15890P
ENSTILAR CUTANEOUS FORM,Betamethasone dipropionate 0.5mg/g and Calcipotriol 50mcg/g,NDA-2: New presentation,Leo Pharma AsiaPtd Ltd,27/02/2020,SIN15892P
"VYNDAQEL SOFT GELATIN CAPSULE 20 MG,VYNDAMAX SOFT GELATIN CAPSULE 61 MG","Tafamidis meglumine (for Vyndaqel),Tafamidis (for Vyndamax)","NDA-1: New chemical entity, NDA-2: New dosage form",Pfizer Private Limited,27/02/2020,SIN15893P. SIN15894P
HAEMOCOMPLETTAN P POWDER FOR SOLUTION FOR INJECTION OR INFUSION 1G/VIAL,Human Fibrinogen,"NDA-1: New chemical entity, NDA-2: New dosage form",CSL Behring Pte Ltd,28/02/2020,SIN15895P
BILAXTEN ORODISPERSIBLE TABLET 10MG,Bilastine,NDA-2: New dosage form,A. MENARINI SINGAPORE PTE. LTD.,13/01/2020,SIN15874P
VASTAREL XR EXTENDED-RELEASE HARD CAPSULE 80 MG,Trimetazidine,NDA-2: New dosage form,SERVIER (S) PTE LTD,20/01/2020,SIN15877P
"SPEDRA TABLET 50MG, 100MG, 200MG",Avafanil,NDA-1/3: New chemical entity/New strength,A.Menarini Singapore Pte Ltd,24/01/2020,"SIN15879P, SIN15880P, SIN15881P"
RAPAMUNE TABLET 0.5 MG,Sirolimus,NDA-3: New strength,PFIZER PRIVATE LIMITED,20/01/2020,SIN15878P
PIFELTRO FILM COATED TABLETS 100MG,Doravirine,NDA-1: New chemical entity,MSD PHARMA (SINGAPORE) PTE. LTD.,012/12/2019,SIN15869P
ZAVICEFTA POWDER FOR CONCENTRATE FOR SOLUION FOR INFUSION 2G/0.5G,"Avibactam sodium, Ceftazidime pentahydrate",NDA-1: New chemical entity,PFIZER PRIVATE LIMITED,12/12/2019,SIN 15870P
"VYVANSE CAPSULES 20MG, 30MG, 40MG, 50MG, 60MG and 70MG",Lisdexamfetamine dimesylate,"NDA-1: New chemical entity, NDA-3: New strength",SHIRE SINGAPORE PTE LTD,01/11/2019,"SIN15840P, SIN15841P, SIN15842P, SIN15843P, SIN15844P and SIN15845P"
"LIVALO FILM COATED TABLETS 2MG, 4MG",Pitavastatin,"NDA-1: New chemical entity, NDA-3: New strength",DKSH SINGAPORE PTE LTD,22/11/2019,"SIN15859P, SIN15860P"
OGIVRI LYOPHILIZED POWDER FOR INJECTION440MG PER VIAL,Trastuzumab,NDA-2: Biosimilar,MYLAN PHARMACEUTICALS PTE.LTD .,04/11/2019,SIN15850P
MONOFER SOLUTION FOR INJECTION OR INFUSION 100 MG/ML,Ferric Derisomaltose 417 mg/ml (Elementary Iron 100 mg/ml),NDA-1: New chemical entity,COMPAI PHARMA PTE LTD,14/11/2019,SIN15855P
NERLYNX FILM-COATED TABLETS 40 MG,Neratinib maleate,NDA-1: New chemical entity,SPECIALISED THERAPEUTICS ASIA PTE LTD,25/11/2019,SIN15861P
"ERDOMED HARD CAPSULES 300MG, ERDOMED DISPERSIBLE TABLETS 300MG",Erdosteine,NDA-1: New chemical entityNDA-2: New dosage form,HYPHENS PHARMA PTE. LTD.,02/10/2019,"SIN15825P, SIN15826P"
FIBRYGA POWDER FOR SOLUTION FOR INJECTION OR INFUSION 1G/VIAL,Human Fibrinogen,NDA-2,WELLCHEM PHARMACEUTICALS PTE LTD,16/10/2019,SIN15829P
LORVIQUA FILM-COATED TABLET 25 AND 100MG,Lorlatinib,NDA-1: New chemical entityNDA-3: New strength,PFIZER PRIVATE LIMITED,16/10/2019,SIN15830PSIN15831P
TASIGNA  CAPSULE 50MG,Nilotinib,NDA-2,NOVARTIS (SINGAPORE) PTE LTD,23/10/2019,SIN15837P
HERZUMA™ 440MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION; HERZUMA™ 150MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,Trastuzumab,NDA-2: BiosimilarNDA-3: New strength,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,29/10/2019,"SIN15838P, SIN15839P"
PRIFTIN FILM-COATED TABLET 150 MG,Rifapentine,NDA-1: New chemical entity,SANOFI-AVENTIS SINGAPORE PTE. LTD.,02/09/2019,SIN15793P
VOKANAMET FILM-COATED TABLETS 50 MG/500 MGVOKANAMET FILM-COATED TABLETS 50 MG/1000 MGVOKANAMET FILM-COATED TABLETS 150 MG/500 MGVOKANAMET FILM-COATED TABLETS 150 MG/1000 MG,Canagliflozin and Metformin,NDA-2: New combination,JOHNSON & JOHNSON PTE. LTD,05/09/2019,SIN15797PSIN15798PSIN15799PSIN15800P
PANVAX PANDEMIC INFLUENZA VACCINE (ADJUVANTED)10ML SUSPENSION FOR INJECTION VIAL,"Pandemic Influenza Virus Type A, inactivated and disrupted",NDA-1: New chemical entity,SEQIRUS PTE LTD .,06/09/2019,SIN15801P
TRELEGY ELLIPTA INHALATION POWDER 100MCG/62.5MCG/25MCG,Fluticasone furoate (micronized)Umeclidinium bromide (micronized)Vilanterol trifenatate (micronized),NDA-2: New combination,GLAXOSMITHKLINE PTE. LTD.,12/09/2019,SIN15806P
IDELVION POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 250IU/VIALIDELVION POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 500IU/VIALIDELVION POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 1000IU/VIALIDELVION POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 2000IU/VIAL,Albutrepenonacog alfa,NDA-1: New biological entityNDA-3: New strength,CSL BEHRING PTE. LTD,19/09/2019,SIN15811PSIN15812PSIN15813PSIN15814P
KANARB®PLUS FILM COATED TABLETS 60 MG/12.5 MGKANARB®PLUS FILM COATED TABLETS 120 MG/12.5 MG,"Fimasartan, Hydrochlorothiazide",NDA-2: New combinationNDA-3: New strength,Zuellig Pharma Pte Ltd,26/09/2019,"SIN15818P, SIN15819P"
AFSTYLA POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 250IU/VIALAFSTYLA POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 500IU/VIALAFSTYLA POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 1000IU/VIALAFSTYLA POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 2000IU/VIALAFSTYLA POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 3000IU/VIAL,Lonoctocog alfa,NDA-1: New biological entityNDA-3: New strength,CSL BEHRING PTE. LTD.,27/09/2019,"SIN15821P, SIN15822P, SIN15823P, SIN15824P, SIN15820P"
ENGERIX-B SUSPENSION FOR INJECTION IN PREFILLED SYRING 10MCG/0.5MLENGERIX-B SUSPENSION FOR INJECTION IN PREFILLED SYRING 20MCG/1ML,Hepatitis B Surface antigen,NDA-2: New presentation,GlaxoSmithKline Pte Ltd,13/09/2019,"SIN15808P, SIN15807P"
GILENYA CAPSULE 0.25MG,Fingolimod,NDA-2: New strength / indication / dosing regimen,NOVARTIS (SINGAPORE) PTE LTD,05/08/2019,SIN15761P
"REXULTI FILM-COATED TABLETS 4MG, 3MG, 2MG, 1MG, 0.5MG AND 0.25MG",Brexpiprazole,NDA-1: New chemical entityNDA-3: New strengths,LUNDBECK SINGAPORE PTE. LTD.,05/08/2019,"SIN15763P, SIN15764P, SIN15765P, SIN15766P, SIN15767, SIN15768P"
"BERIATE POWDER AND SOLVENT FOR SOLUTION FOR INJECTION OR INFUSION 250IU/VIAL, 500IU/VIAL",Human coagulation factor VIII,NDA-2: Others (Factor VIII product),CSL Behring Pte Ltd,07/08/2019,"SIN15771P, SIN15772P"
SKYCELLFLU QUADRIVALENT PREFILLED SYRINGE,"Purified inactivated influenza virus surface antigen [A/Christchurch/16/2010, NIB-74xp (H1N1)]Purified inactivated influenza virus surface antigen [A/HongKong/4801/2014, NYMC X263 (H3N2)]Purified inactivated influenza virus surface antigen [B/Brisbane/60/2008, NYMC BX-35]Purified inactivated influenza virus surface antigen [B/Phuket/3073/2013]",NDA-2: New combination,AJ BIOLOGICS PTE. LTD.,16/08/2019,SIN15781P
"VERZENIO FILM-COATED TABLET 50MG, 100MG AND 150MG",Abemaciclib,NDA-1: New chemical entityNDA-3: New strength,ELI LILLY (SINGAPORE) PTE LTD,26/08/2019,"SIN15788P, SIN15789P, SIN15790P"
