No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
59,201812051512T,MAL190760 47TC,GREEN VALLEY SOURSOP LEAVES 2.0G HERBAL TEA,"QQ GREEN FINGERS SDN. BHD., SELANGOR","TPM NEXUS SDN. BHD., PAHANG",15/7/2019,15/7/2024,New Product Registration
60,201810301295T,MAL190760 87TC,ORIEN'S ORGANIC SPIRULINA 500MG CAPSULE,"ORIENS INTERNATIONAL SDN. BHD., KUALA LUMPUR","VIJAYANI NUTRACEUTIC ALS PRIVATE LIMITED, INDIA",15/7/2019,15/7/2024,New Product Registration
61,201805210481T,MAL190760 88T,LUOTAI PANAX NOTOGINSENG 5MG PILLS,"HAI-O MEDICINE SDN. BHD., SELANGOR","KPC PNS PHARMACEUTI CAL CO., LTD, CHINA",15/7/2019,15/7/2024,New Product Registration
62,201902281861T,MAL190760 89TC,EASTERN HEALTHCARE SABAH SNAKE GRASS ORAL GRANULES,"EASTERN HEALTHCARE (M) SDN. BHD., SELANGOR","NOVA LABORATORIE S SDN. BHD., SELANGOR",15/7/2019,15/7/2024,New Product Registration
63,201812051519T,MAL190760 90T,"XUAN SHEN EXTRACT POWDERS ""SUN TEN""","SUN TEN PHARMACEUTICA L MFG (M) SDN. BHD, KUALA LUMPUR","SUN TEN PHARMACEUTI CAL CO. LTD., TAIWAN.",15/7/2019,15/7/2024,New Product Registration
64,201901091687T,MAL190760 91T,APOTEC KACIP FATIMAH 2G TEABAG,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",15/7/2019,15/7/2024,New Product Registration
65,201901141721T,MAL190760 92T,INSOMIN SOFTGEL,"J.D. ACADEMY, SARAWAK","SHIJIAZHUAN G YILING PHARMACEUTI CAL CO.,LTD., CHINA",15/7/2019,15/7/2024,New Product Registration
66,201812051511T,MAL190760 48TC,MUSTIQUE FIG LEAVES 2.0 GM HERBAL TEA,"MYSTIQUE FIGS SDN. BHD.,SELANGOR","TPM NEXUS SDN. BHD., PAHANG",15/7/2019,15/7/2024,New Product Registration
67,201903081902T,MAL190760 93TC,EASTERN HEALTHCARE SABAH SNAKE GRASS 380MG TABLET,"EASTERN HEALTHCARE (M) SDN. BHD., SELANGOR","NOVA LABORATORIE S SDN. BHD., SELANGOR",15/7/2019,15/7/2024,New Product Registration
68,201810151177T,MAL190760 94TC,TRINLEY® Cranberry 250mg Capsule,"GROWAY (MALAYSIA) SDN. BHD., SELANGOR","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR",15/7/2019,15/7/2024,New Product Registration
69,201901091686T,MAL190760 95TC,TRUVIGOR SKY FRUIT 100MG CAPSULE,"ENERBRIQ SDN. BHD.,","REISHILAB SDN. BHD., SELANGOR",15/7/2019,15/7/2024,New Product Registration
70,201901021780T,MAL190760 96T,HS GINGER 625MG CAPSULE,"HERBAL SCIENCES SDN BHD, SELANGOR","HERBAL SCIENCES SDN BHD, SELANGOR",15/7/2019,15/7/2024,New Product Registration
71,201902281865T,MAL190760 97T,EXCEL HERBAL TURMERIC EXTRACT 250MG CAPSULE,"EXCEL HERBAL INDUSTRIES SDN BHD, SELANGOR","EXCEL HERBAL INDUSTRIES SDN BHD, SELANGOR",15/7/2019,15/7/2024,New Product Registration
431,201712191209A,MAL190860 04AZ,Quitt ? Peppermint 2mg Nicotine Gum,Sun Healthcare (m) Sdn Bhd,Fertin Pharma A/S(DENMARK ),1/8/2019,1/8/2024,New Registration Approval
432,201709070767A,MAL190860 02AZ,TORCOXIB 200mg CAPSULES,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTI CAL LIMITED(INDI A),1/8/2019,1/8/2024,New Registration Approval
433,201802020050A,MAL190860 01ACZ,"Corneax, eye drops solution 0.2% w/v",AVERROES PHARMACEUTICA LS SDN. BHD.,COOPER S.A.(GREECE),1/8/2019,1/8/2024,New Registration Approval
434,201802050054A,MAL190860 03AZ,TENOLAURUS TABLET (TENOFOVIR DISOPROXIL FUMARATE 300 MG),SYNERRV SDN BHD,Laurus Labs Limited (Unit- 2)(INDIA),1/8/2019,1/8/2024,New Registration Approval
435,201806290653A,MAL190860 09AZ,AZADINE (Azacitidine Powder for Suspension for Injection 100mg/vial),ACCORD HEALTHCARE SDN.BHD.,INTAS PHARMACEUTI CALS LIMITED(INDI A),1/8/2019,1/8/2024,New Registration Approval
436,201804200358A,MAL190860 06AZ,JUBITEL (Telmisartan Tablets 40mg),HEALOL PHARMACEUTICA LS SDN. BHD.,Jubilant Generics Limited(INDIA ),1/8/2019,1/8/2024,New Registration Approval
437,201804200359A,MAL190860 07AZ,JUBITEL (Telmisartan Tablets 80mg),HEALOL PHARMACEUTICA LS SDN. BHD.,Jubilant Generics Limited(INDIA ),1/8/2019,1/8/2024,New Registration Approval
438,201809141047A,MAL190860 05ACZ,MVASI Concentrate for Solution for Infusion 25 mg/ml,ZUELLIG PHARMA SDN BHD,Amgen Manufacturing Limited(UNITE D STATES),1/8/2019,1/8/2024,New Registration Approval
439,201805240492A,MAL190860 08ACRZ,Iressa 250mg Film-coated Tablet,ASTRAZENECA SDN. BHD.,"Kagamiishi Plant, Nipro Pharma Corporation(J APAN)",1/8/2019,1/8/2024,New Registration Approval
440,201806210609X,MAL190860 12XZ,Children's Protemp Suppositories 120mg,DYNAPHARM (M) SDN BHD,"Lerd Singh Pharmaceutic al Fact., Ltd., Part.(THAILAN D)",1/8/2019,1/8/2024,New Registration Approval
441,201809271106X,MAL190860 11X,IROFAS Syrup,HEALOL PHARMACEUTICA LS SDN. BHD.,GRACURE PHARMACEUTI CALS LTD.(INDIA),1/8/2019,1/8/2024,New Registration Approval
442,201809261097 HA,MAL190860 10HA,Limoxin 200mg/ml LA Solution for Injection,Danberg (m) Sdn Bhd,Interchemie Werken de Adelaar Eesti AS(ESTONIA),1/8/2019,1/8/2024,New Registration Approval
443,201810251267X,MAL190860 13XZ,WINAMOL Drops for Infants (Paracetamol 100mg/ml),KCK PHARMACEUTICA L INDUSTRIES SDN. BHD.,KCK PHARMACEUTI CAL INDUSTRIES SDN. BHD.(MALAYS IA),1/8/2019,1/8/2024,New Registration Approval
444,201901171731 HA,MAL190860 15HA,Intermectin 10mg/ml Solution for Injection,Danberg (m) Sdn Bhd,Interchemie Werken de Adelaar Eesti AS(ESTONIA),1/8/2019,1/8/2024,New Registration Approval
445,201901161728 HA,MAL190860 14HA,MOXY 10% w/w SOLUBLE POWDER,Rural Chemical Industries Sdn Bhd,"Ningbo Creator Animal Pharmaceutic al Co.,Ltd(CHINA )",1/8/2019,1/8/2024,New Registration Approval
446,201903261961 HA,MAL190860 16HA,Prozil Fort 1%w/v Injectable Solution,Rural Chemical Industries Sdn Bhd,"VEMEDIM VETERINARY DRUGS AND PROBIOTICS CO., LTD (VEMEDIM ANIMAL HEALTH)(VIET NAM)",1/8/2019,1/8/2024,New Registration Approval
447,201903051876 HA,MAL190860 18HA,Amoxi 20% w/v Suspension for Injection,Vemedim Sdn Bhd,Vemedim Corporation(V IETNAM),1/8/2019,1/8/2024,New Registration Approval
448,201903261963 HA,MAL190860 17HA,Vime Kanamycin 20% w/v Solution for Injection,Vemedim Sdn Bhd,"VEMEDIM VETERINARY DRUGS AND PROBIOTICS CO., LTD (VEMEDIM ANIMAL HEALTH)(VIET NAM)",1/8/2019,1/8/2024,New Registration Approval
449,201903251955X E,MAL190860 19XE,Panadol Tablets 500mg with Optizorb Formulation,STERLING DRUG (MALAYA) SDN. BHD.,STERLING DRUG (MALAYA) SDN. BHD.(MALAYS IA),1/8/2019,1/8/2024,New Registration Approval
1,201901101696 N,MAL190561 37NCR,ASPEN NUTRITION COQ10 150MG FORTE SOFTGEL CAPSULE,"ASPEN SARL SDN. BHD.,","ALPHA LABORATORIE S (NZ) LIMITED, NEW ZEALAND",28/5/2019,28/5/2024,New Product Registration
2,201902191825 N,MAL190561 38NCR,SAFWA HEALTH OMEGA-3 FISH OIL 1000MG SOFTGEL,"SAFWA HEALTH PRODUCTS SDN. BHD.,","GMP PHARMACEUTI CALS LTD, NEW ZEALAND",28/5/2019,28/5/2024,New Product Registration
3,201810301290 N,MAL190561 39NC,LAZZ FOLIA FOLIC ACID 400MCG TABLET,"LAZZ AIN MARKETING SDN BHD,","HERBAL SCIENCE SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
4,201903061884 N,MAL190561 36NZ,NUTRILIVING VITAMIN C 500MG CAPSULE,"SKY NUTRACEUTICAL S SDN. BHD.,","SKY NUTRACEUTIC ALS SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
5,201812101558 N,MAL190561 40NCR,GOLD LIFE® ODOURLESS BIO-OMEGA FISH OIL 1200MG SOFT VEGETABLE CAPSULE,"MEDIPHARM INDUSTRIES SDN. BHD.,","GMP PHARMACEUTI CALS LTD., NEW ZEALAND",28/5/2019,28/5/2024,New Product Registration
6,201904082009 N,MAL190660 01N,Excel Herbal NAC 300mg Capsule,"EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.","EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
7,201811071346 N,MAL190660 02NCR,BIO-LIFE FLAXSEED OIL 1000MG VEGETABLE SOFTGEL CAPSULE,"BIO-LIFE MARKETING SDN. BHD., SELANGOR.","MEGA LIFESCIENCES PUBLIC COMPANY LIMITED., THAILAND.",11/6/2019,11/6/2024,New Product Registration
8,201811011317 N,MAL190561 42NCR,BIO-LIFE FISH OIL 1000MG PLUS VIT E VEGETABLE SOFTGEL CAPSULE,"BIO-LIFE MARKETING SDN. BHD.,","MEGA LIFESCIENCES PUBLIC COMPANY LIMITED, THAILAND",28/5/2019,28/5/2024,New Product Registration
9,201812101556 N,MAL190561 43NC,NUTRICHAMPZ GAIN BACT PROBIOTICS + CAPSULE,"NUTRICHAMPZ (M) SDN. BHD.,","HERBAL SCIENCE SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
10,201902191826 N,MAL190561 44N,NUTRILIVING GLUTATHIONE + PINE BARK EXTRACT CAPSULE,"SKY NUTRACEUTICAL S SDN. BHD.,","SKY NUTRACEUTIC ALS SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
11,201902221843 N,MAL190561 45NC,MYANNABELLE TABLET,"SIX BEAUTY AESTHETICS (M) SDN. BHD.,","YANLING NATURAL HYGIENE SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
12,201810311314 N,MAL190561 46N,DZR SHARP KIDZ CHEWABLE TABLETS,"DZR PHARMA MANUFACTURE SDN. BHD.,","DZR PHARMA MANUFACTUR E SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
13,201811291473 N,MAL190561 47NC,FRONTIER INTERNATIONAL GLUTATHIONE ALA CAPSULES,"FRONTIER INTERNATIONAL (M) SDN BHD., SELANGOR","GN NEUTRICEUTI CALS SDN BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
14,201901101697 N,MAL190561 48NC,NUTREXEL Q10 PLUS Capsule,"ALPHANUTRITIO N WELLNESS SDN. BHD.,","ESPRIT CARE SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
15,201901081669 N,MAL190561 49NCR,EUROBIO® EXECUTIVE BIO B-COMPLEX ACTIVE FORMULA SOFTGEL CAPSULE,"EUROBIO SDN. BHD.,","GMP PHARMACEUTI CALS LTD., NEW ZEALAND",28/5/2019,28/5/2024,New Product Registration
16,201902141807 N,MAL190561 50NCR,EUROBIO® BIO- ENERGEE ACTIVE FORMULA MULTIVITAMINS & MINERALS PLUS SOFTGEL CAPSULE,"EUROBIO SDN. BHD.,","GMP PHARMACEUTI CALS LTD, NEW ZEALAND",28/5/2019,28/5/2024,New Product Registration
17,201811231439 N,MAL190561 51NC,REDOXON BOOST & GO POWDER (ORANGE AND STRAWBERRY FLAVOUR),"BAYER CO. (MALAYSIA) SDN. BHD., SELANGOR.","CONTRACT PHARMACAL CORPORATIO N, UNITED STATES.",28/5/2019,28/5/2024,New Product Registration
18,201902011779 N,MAL190660 03NC,VITAUX VIT D3 PLUS DROPS,"ANC BIO WELLNESS SDN. BHD.,","HERBAL SCIENCE SDN. BHD.,",11/6/2019,11/6/2024,New Product Registration
19,201902221837 N,MAL190660 04NCR,LIFESENZE FISH OIL 1400MG PLUS ENTERIC- COATED SOFTGEL,"HL PHARMACEUTICA LS SDN. BHD., KUALA LUMPUR.","ALPHA LABORATORIE S (NZ) LTD., NEW ZEALAND",11/6/2019,11/6/2024,New Product Registration
20,201902251846 N,MAL190660 05NC,LIFEFACTOR HYALURONIC ACID PLUS CAPSULE,"LIFE FACTOR SDN. BHD., SELANGOR.","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
21,201904112030 N,MAL190660 06NC,NUMLES CAPSULE,"MB NUTRACEUTICAL S SDN. BHD., KUALA LUMPUR.","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
22,201904122033 N,MAL190660 07N,LANG BRAGMAN COMFORTO POWDER,"OMEGA HEALTH PRODUCTS SDN. BHD., SELANGOR.","OMEGA HEALTH PRODUCTS SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
23,201811081356 N,MAL190660 08NCR,BIO-LIFE EVENING PRIMROSE OIL & FISH OIL PLUS VITAMIN E VEGETABLE SOFTGEL CAPSULE,"BIO-LIFE MARKETING SDN. BHD., SELANGOR.","MEGA LIFESCIENCES PUBLIC COMPANY LIMITED., THAILAND.",11/6/2019,11/6/2024,New Product Registration
24,201904082011 N,MAL190660 09N,EXCEL HERBAL MULTIZYMES POWDER(LEMO N FLAVOR),"EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.","EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
25,201904082010 N,MAL190660 10N,EXCEL HERBAL ORIEZYME CAPSULE,"EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.","EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
26,201811071345 N,MAL190660 11NC,AB-LIFE CAPSULE,"MEDEXP SDN. BHD.,","ALIFARM, SA, SPAIN",11/6/2019,11/6/2024,New Product Registration
27,201812201644 N,MAL190660 12NC,LESCENS VITANERV TABLET,"ASIA HEALTHCARE SDN BHD,","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR.",11/6/2019,11/6/2024,New Product Registration
28,201812061536T,MAL190561 52T,"SHIAU FENG SANN EXTRACT PULVERES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",28/5/2019,28/5/2024,New Product Registration
29,201809050989T,MAL190561 53TC,"""TIMING"" TSANG ERH SAN EXTRACT GRANULES","TIMING HERBS SDN BHD., PERAK","WAN YEEN TRADING SDN. BHD., PERAK",28/5/2019,28/5/2024,New Product Registration
30,201810181217T,MAL190561 54TC,''TIMING'' NEW TZUOO KUEI WAN EXTRACT GRANULES,"TIMING HERBS SDN BHD., PERAK","WAN YEEN TRADING SDN. BHD., PERAK",28/5/2019,28/5/2024,New Product Registration
31,201810231243T,MAL190561 55T,"CHING SHANG JIUAN TONO TONG EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",28/5/2019,28/5/2024,New Product Registration
32,201811291472T,MAL190561 56TC,PAK BOH RECIPE COMBINATION OF TWO TONGKAT ALI HERBAL TEA WITH TONGKAT HAJI SAMAD,"PAK BOH RECIPE, PAHANG.","THE MITOMASA SDN. BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
33,201808280950T,MAL190561 57T,UNIFLEX MAODAN COLD AND FEVER RELIEF POWDER,"S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN. BHD., JOHOR","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN. BHD., JOHOR",28/5/2019,28/5/2024,New Product Registration
34,201809191056T,MAL190561 58TC,MANARAH ZEROD COOL REMEDIES LOTION,"MANARAH EMPIRE SDN. BHD., SELANGOR","SARI TANI DESA SDN. BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
35,201809030962T,MAL190561 59T,SHENLU PROPOLIS COMPOUND OINTMENT,"SHENLU BIOTECH SDN BHD, NEGERI SEMBILAN","SHENLU BIOTECH SDN BHD, NEGERI SEMBILAN",28/5/2019,28/5/2024,New Product Registration
36,201803310268T,MAL190561 60T,NATURE'S GREEN LICORICE COMBINATION TABLETS,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",28/5/2019,28/5/2024,New Product Registration
37,201809261091T,MAL190561 61T,NATURE'S GREEN ZU GEN TONG TABLETS,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",28/5/2019,28/5/2024,New Product Registration
38,201811231443T,MAL190561 62T,INOVITAL GUARANA PLUS CAPSULE,"FRANCAZURE SDN BHD, KUALA LUMPUR","F.E. VENTURE MARKETING SDN. BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
39,201808150879T,MAL190561 63T,VITA GREEN CHONG TON LIN PIL,"VITA GREEN HEALTH PRODUCTS, SELANGOR","VITA GREEN HEALTH PRODUCTS, SELANGOR",28/5/2019,28/5/2024,New Product Registration
40,201810311310T,MAL190561 64T,NOBLE GARDEN EX ROYALE VEGETABLE CAPSULE,"GANO E WORLDWIDE SDN. BHD., KEDAH","GANO EXCEL INDUSTRIES SDN BHD, KEDAH",28/5/2019,28/5/2024,New Product Registration
41,201811081352T,MAL190561 65T,APOTEC FLOWEL CAPSULE,"BIOALPHA INTERNATIONAL SDN. BHD., SELANGOR","BIOALPHA INTERNATION AL SDN. BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
42,201810251263T,MAL190561 66TC,SHAKLEE GARLIC COMPLEX TABLET,"SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD. , SELANGOR","NUTRA MANUFACTUR ING, INC., UNITED STATES",28/5/2019,28/5/2024,New Product Registration
43,201810291285T,MAL190561 67T,NATURE'S GREEN WEI TONG AN CAPSULES,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",28/5/2019,28/5/2024,New Product Registration
44,201811161419T,MAL190561 68TC,PAK BOH RECIPE TONGKAT ALI HITAM 1.6G HERBAL TEA,"PAK BOH RECIPE, PAHANG","THE MITOMASA SDN. BHD., SELANGOR",28/5/2019,28/5/2024,New Product Registration
45,201810181206T,MAL190561 69TC,HOPEMATIC CORDYCEPS SINENSIS 300MG CAPSULE,"HOPEMATIC SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",28/5/2019,28/5/2024,New Product Registration
46,201808030821T,MAL190561 70T,SUNMARIN CAPSULES,"SUNWARD PHARMACEUTICA L SDN. BHD., JOHOR","TAIWAN BIOTECH CO. LTD., TAIWAN",28/5/2019,28/5/2024,New Product Registration
47,201811011319T,MAL190561 71TC,FK MISAI KUCING 2GM HERBAL TEA,"TST (ASIA) SDN. BHD., PERAK","TST BIOCEUTICAL SDN. BHD., PERAK",28/5/2019,28/5/2024,New Product Registration
48,201810311311T,MAL190561 72TC,AVIA VIRGIN COCONUT OIL 500MG SOFTGEL,"PARAMORE MARKETING, SELANGOR","MINSYAM PHARMA SDN BHD, SELANGOR",28/5/2019,28/5/2024,New Product Registration
49,201812201639T,MAL190561 73TC,ACHLIM MORINGA 420MG,"ACHLIM TRADING SDN BHD, KUALA","TST BIOCEUTICAL SDN. BHD.,",28/5/2019,28/5/2024,New Product Registration
50,201812171591T,MAL190561 74TC,HDI PROPOELIX CAPSULE 200MG,"HDI NETWORK (M) SDN. BHD. , SELANGOR","ARIZONA NUTRITIONAL SUPPLEMENTS , UNITED STATES",28/5/2019,28/5/2024,New Product Registration
51,201810181216T,MAL190660 57T,TIAN SHIN TANG XIANG DAN OIL PLUS,"TIAN SHIN TANG ENTERPRISE, NEGERI SEMBILAN","PEMBEKALAN UBAT HUATHAI SDN. BHD., JOHOR",11/6/2019,11/6/2024,New Product Registration
52,201809191053T,MAL190660 56T,HOMEO WELLNESS SPRAY,"HOMEO MINDBOOSTER (M) SDN.BHD., MELAKA","HOMEO MINDBOOSTE R (M) SDN.BHD., MELAKA",11/6/2019,11/6/2024,New Product Registration
53,201810281275T,MAL190660 55TC,H-FOCUS AKIDS CHEWABLE TABLET,"VIHSDIA ENTERPRISE, KEDAH","DZ TRADE (MALAYSIA) SDN. BHD., KEDAH",11/6/2019,11/6/2024,New Product Registration
54,201901091681T,MAL190660 54TC,BIOCARE GINKGOBA 480MG CAPSULE,"TST (ASIA) SDN. BHD., PERAK","TST BIOCEUTICAL SDN. BHD.,PERAK",11/6/2019,11/6/2024,New Product Registration
55,201811021330T,MAL190660 53TC,FRONTIER INTERNATIONAL VISIONE CAPSULES 500MG,"FRONTIER INTERNATIONAL (M) SDN BHD, SELANGOR","POLLUX GENTECH SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
56,201810311308T,MAL190660 52T,SCENTRIARTH ROYAL EXCELLIUM VEGETABLE CAPSULE,"GANO EXCEL INDUSTRIES SDN BHD, KEDAH","GANO EXCEL INDUSTRIES SDN BHD, KEDAH",11/6/2019,11/6/2024,New Product Registration
57,201810301296T,MAL190660 51TC,ORIEN'S O'MORINGA CAPSULES,"ORIENS INTERNATIONAL SDN. BHD., KUALA LUMPUR","VIJAYANI NUTRACEUTIC ALS PRIVATE LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
58,201810291286T,MAL190660 50T,NATURE'S GREEN GAN BAO CAPSULES,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",11/6/2019,11/6/2024,New Product Registration
59,201810221233T,MAL190660 49T,DNG CORDYCEPS PLUS GANODERMA CAPSULE,"DYNAPHARM HERBAL (M) SDN. BHD., PULAU PINANG","DYNAPHARM HERBAL (M) SDN. BHD., PULAU PINANG",11/6/2019,11/6/2024,New Product Registration
60,201810181207T,MAL190660 48TC,HOPEMATIC TMM CORDYCEPS PLUS,"HOPEMATIC SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",11/6/2019,11/6/2024,New Product Registration
61,201812051524T,MAL190660 47TC,ORIEN'S NF CAPSULES,"ORIENS INTERNATIONAL SDN. BHD., KUALA LUMPUR","VIJAYANI NUTRACEUTIC ALS PRIVATE LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
62,201810171193T,MAL190660 46T,BIOVITA BLACK SEED OIL PLUS OLIVE EXTRACT & SACHA INCHI OIL SOFTGELS,"HIGH VALLEY CONTRACT MANUFACTURIN G (GMP) SDN BHD, SELANGOR","HIGH VALLEY CONTRACT MANUFACTUR ING (GMP) SDN BHD, SELANGOR",11/6/2019,11/6/2024,New Product Registration
63,201811111377T,MAL190660 45TC,LE CEEN POWDER,"MRZ HERBA HEALTHYCARE, KEDAH","DZ TRADE (MALAYSIA) SDN. BHD., KEDAH",11/6/2019,11/6/2024,New Product Registration
64,201811131389T,MAL190660 44T,HONGJITANG SHUJIN HUOXUE TABLET,"HAI-O MEDICINE SDN. BHD., KLANG","SHANDONG HONGJITANG PHARMACEUTI CAL GROUP CO., LTD., CHINA",11/6/2019,11/6/2024,New Product Registration
65,201811231442T,MAL190660 43T,INOVITAL LAPACHO PLUS CAPSULE,"FRANCAZURE SDN BHD, KUALA LUMPUR","F.E. VENTURE MARKETING SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
66,201808150882T,MAL190660 42T,VITA GREEN GASTRODIA PLUS PILL,"VITA GREEN HEALTH PRODUCTS, SELANGOR","VITA GREEN HEALTH PRODUCTS, SELANGOR",11/6/2019,11/6/2024,New Product Registration
67,201810311306T,MAL190660 41T,THE HERBAL CO. CHOGUARD TABLET,"POWERLIFE (M) SDN BHD, NEGERI SEMBILAN","BACFO PHARMACEUTI CALS (INDIA) LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
68,201811121383T,MAL190660 40T,THE HERBAL CO. MOTIVA CAPSULE,"POWERLIFE (M) SDN BHD, NEGERI SEMBILAN","BACFO PHARMACEUTI CALS (INDIA) LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
69,201810101172T,MAL190660 39T,BIOTROPICS NATULYNN CAPSULE,"BIOTROPICS MALAYSIA BERHAD, SELANGOR","PHYTES BIOTEK SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
70,201810311307T,MAL190660 38T,THE HERBAL CO. FOLIMO TABLET,"POWERLIFE (M) SDN BHD, NEGERI SEMBILAN","BACFO PHARMACEUTI CALS (INDIA) LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
71,201810311303T,MAL190660 37T,THE HERBAL CO. ENASIS CAPSULE,"POWERLIFE (M) SDN BHD, NEGERI SEMBILAN","BACFO PHARMACEUTI CALS (INDIA) LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
72,201811061342T,MAL190660 36TC,DZ JOINT MUSCULAR CARE CAPSULE 250MG,"MRZ HERBAL HEALTHY CARE, KEDAH","DZ TRADE (MALAYSIA) SDN. BHD., KEDAH",11/6/2019,11/6/2024,New Product Registration
73,201810301297T,MAL190660 35TC,ORIEN'S NATUROVITA CAPSULES,"ORIENS INTERNATIONAL SDN. BHD., KUALA LUMPUR","VIJAYANI NUTRACEUTIC ALS PRIVATE LIMITED, INDIA",11/6/2019,11/6/2024,New Product Registration
74,201811301480T,MAL190660 34TC,POLYLAB SHPE- TEA,"POLYLAB BIOTECH SDN. BHD., KUALA LUMPUR","FERNO INDUSTRIES SDN BHD, SELANGOR",11/6/2019,11/6/2024,New Product Registration
75,201806270641T,MAL190660 33T,AA AAISYAH'KIDS 550MG,"DZ TRADE (MALAYSIA) SDN. BHD., KEDAH","DZ TRADE (MALAYSIA) SDN. BHD., KEDAH",11/6/2019,11/6/2024,New Product Registration
76,201810301289T,MAL190660 32TC,AGASH SYRUP,"AGATHIYAR TRADITIONAL TREATMENT TEACHING CENTRE SDN. BHD., SELANGOR","HERBAL SCIENCE SDN. BHD., SELANGOR",11/6/2019,11/6/2024,New Product Registration
77,201811291471T,MAL190660 31T,"SHIAU KEE PIRNG SAHN PULVERES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",11/6/2019,11/6/2024,New Product Registration
78,201812061530T,MAL190660 30T,DWU HWA JIH SHENG TONG EXTRACT GRANULES “TI”,"TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",11/6/2019,11/6/2024,New Product Registration
79,201811081363T,MAL190660 29T,"TAO SHUI FU LIN TONG EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",11/6/2019,11/6/2024,New Product Registration
80,201812061532T,MAL190660 28T,"CHUAN CHION CHAR TYAN SAN EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD, SELANGOR","TIAN-I PHARMACEUTI CAL CO., LTD., TAIWAN",11/6/2019,11/6/2024,New Product Registration
